date,open,high,low,close,volume,ignore
2013-03-26,18.73,18.88,18.48,18.59,15781800,18.59
2013-03-25,18.73,18.82,18.42,18.63,24340200,18.63
2013-03-22,18.55,18.71,18.46,18.63,16137700,18.63
2013-03-21,18.72,18.86,18.49,18.53,21978600,18.53
2013-03-20,19.05,19.16,18.68,18.85,27636600,18.85
2013-03-19,18.90,19.35,18.83,19.10,33822900,19.10
2013-03-18,18.90,19.35,18.84,19.20,40451100,19.20
2013-03-15,19.40,19.55,19.01,19.09,43819400,19.09
2013-03-14,18.98,19.38,18.60,19.38,27172500,19.38
2013-03-13,18.81,19.20,18.73,18.76,31665300,18.76
2013-03-12,18.85,19.14,18.63,18.74,26135700,18.74
2013-03-11,18.29,18.97,17.92,18.93,25088800,18.93
2013-03-08,18.79,19.32,18.16,18.37,30589700,18.37
2013-03-07,18.31,19.58,18.31,18.95,62419400,18.95
2013-03-06,17.60,18.27,17.22,18.05,73898000,18.05
2013-03-05,16.63,16.76,16.47,16.56,31669900,16.56
2013-03-04,16.82,17.10,16.48,16.50,35543300,16.50
2013-03-01,16.50,17.02,16.40,16.90,31519900,16.90
2013-02-28,16.76,16.85,16.55,16.61,27829200,16.61
2013-02-27,16.79,16.98,16.64,16.81,28607500,16.81
2013-02-26,16.78,16.86,16.53,16.74,33405100,16.74
2013-02-25,17.05,17.10,16.85,16.95,30504000,16.95
2013-02-22,17.51,17.51,17.01,17.15,30901800,17.15
2013-02-21,17.47,17.57,17.20,17.32,30382300,17.32
2013-02-20,18.10,18.10,17.55,17.62,25939500,17.62
2013-02-19,17.91,18.18,17.89,18.10,28822000,18.10
2013-02-18,17.64,17.95,17.52,17.90,20291600,17.90
2013-02-15,17.61,17.79,17.53,17.63,25001600,17.63
2013-02-14,17.79,17.90,17.58,17.67,25902900,17.67
2013-02-13,17.95,18.00,17.73,17.80,22328200,17.80
2013-02-08,17.55,17.78,17.38,17.74,31068100,17.74
2013-02-07,17.75,17.98,17.32,17.50,37066400,17.50
2013-02-06,17.93,18.00,17.53,17.60,30886100,17.60
2013-02-05,17.28,18.29,17.26,18.08,77332900,18.08
2013-02-04,18.16,18.35,17.89,18.00,32294300,18.00
2013-02-01,18.14,18.65,18.12,18.46,28860400,18.46
2013-01-31,18.26,18.33,17.90,18.08,33246400,18.08
2013-01-30,18.99,18.99,18.17,18.20,66985800,18.20
